Time [s],TX
0.754930482,1.593
0.754949682,1.587
0.754968882,1.587
0.754988082,1.587
0.755007282,1.587
0.755026482,1.587
0.755045682,1.587
0.755064882,1.587
0.755084082,1.587
0.755103282,1.587
0.755122482,1.587
0.755141682,1.582
0.755160882,1.587
0.755180082,1.587
0.755199282,1.706
0.755218482,1.768
0.755237682,1.763
0.755256882,1.742
0.755276082,1.696
0.755295282,1.639
0.755314482,1.582
0.755333682,1.536
0.755352882,1.495
0.755372082,1.448
0.755391282,1.412
0.755410482,1.402
0.755429682,1.402
0.755448882,1.417
0.755468082,1.438
0.755487282,1.484
0.755506482,1.541
0.755525682,1.598
0.755544882,1.655
0.755564082,1.701
0.755583282,1.732
0.755602482,1.768
0.755621682,1.778
0.755640882,1.773
0.755660082,1.753
0.755679282,1.722
0.755698482,1.686
0.755717682,1.629
0.755736882,1.567
0.755756082,1.510
0.755775282,1.464
0.755794482,1.433
0.755813682,1.412
0.755832882,1.396
0.755852082,1.402
0.755871282,1.427
0.755890482,1.464
0.755909682,1.500
0.755928882,1.551
0.755948082,1.608
0.755967282,1.665
0.755986482,1.716
0.756005682,1.753
0.756024882,1.773
0.756044082,1.778
0.756063282,1.768
0.756082482,1.742
0.756101682,1.706
0.756120882,1.660
0.756140082,1.613
0.756159282,1.562
0.756178482,1.500
0.756197682,1.458
0.756216882,1.422
0.756236082,1.402
0.756255282,1.396
0.756274482,1.407
0.756293682,1.433
0.756312882,1.479
0.756332082,1.531
0.756351282,1.577
0.756370482,1.624
0.756389682,1.675
0.756408882,1.722
0.756428082,1.763
0.756447282,1.773
0.756466482,1.778
0.756485682,1.773
0.756504882,1.742
0.756524082,1.691
0.756543282,1.639
0.756562482,1.582
0.756581682,1.536
0.756600882,1.495
0.756620082,1.453
0.756639282,1.417
0.756658482,1.402
0.756677682,1.402
0.756696882,1.417
0.756716082,1.438
0.756735282,1.484
0.756754482,1.541
0.756773682,1.598
0.756792882,1.649
0.756812082,1.691
0.756831282,1.732
0.756850482,1.763
0.756869682,1.773
0.756888882,1.773
0.756908082,1.753
0.756927282,1.727
0.756946482,1.686
0.756965682,1.629
0.756984882,1.567
0.757004082,1.515
0.757023282,1.469
0.757042482,1.438
0.757061682,1.407
0.757080882,1.396
0.757100082,1.402
0.757119282,1.427
0.757138482,1.464
0.757157682,1.495
0.757176882,1.551
0.757196082,1.608
0.757215282,1.665
0.757234482,1.711
0.757253682,1.747
0.757272882,1.768
0.757292082,1.784
0.757311282,1.773
0.757330482,1.742
0.757349682,1.706
0.757368882,1.660
0.757388082,1.618
0.757407282,1.562
0.757426482,1.505
0.757445682,1.458
0.757464882,1.422
0.757484082,1.407
0.757503282,1.396
0.757522482,1.402
0.757541682,1.433
0.757560882,1.479
